Location,Period,Indicator,First Tooltip
Seychelles,2013,Men who have sex with men (MSM) with active syphilis (%),6.8
Seychelles,2012,Men who have sex with men (MSM) with active syphilis (%),0
Seychelles,2011,Men who have sex with men (MSM) with active syphilis (%),0
Singapore,2018,Men who have sex with men (MSM) with active syphilis (%),12.2
Singapore,2017,Men who have sex with men (MSM) with active syphilis (%),12.4
Singapore,2016,Men who have sex with men (MSM) with active syphilis (%),28.7
Singapore,2014,Men who have sex with men (MSM) with active syphilis (%),15.1
Singapore,2013,Men who have sex with men (MSM) with active syphilis (%),18.39
Singapore,2010,Men who have sex with men (MSM) with active syphilis (%),18.39
Singapore,2009,Men who have sex with men (MSM) with active syphilis (%),21.07
Solomon Islands,2017,Men who have sex with men (MSM) with active syphilis (%),31.4
Spain,2013,Men who have sex with men (MSM) with active syphilis (%),3.8
Sri Lanka,2018,Men who have sex with men (MSM) with active syphilis (%),1.3
Sri Lanka,2014,Men who have sex with men (MSM) with active syphilis (%),0.8
Sri Lanka,2011,Men who have sex with men (MSM) with active syphilis (%),11.7
Sri Lanka,2010,Men who have sex with men (MSM) with active syphilis (%),4.71
Sudan,2016,Men who have sex with men (MSM) with active syphilis (%),1.5
Sudan,2011,Men who have sex with men (MSM) with active syphilis (%),2.5
Switzerland,2008,Men who have sex with men (MSM) with active syphilis (%),7
Tajikistan,2017,Men who have sex with men (MSM) with active syphilis (%),6
Tajikistan,2011,Men who have sex with men (MSM) with active syphilis (%),5.14
Thailand,2018,Men who have sex with men (MSM) with active syphilis (%),5.98
Thailand,2013,Men who have sex with men (MSM) with active syphilis (%),24.4
Thailand,2008,Men who have sex with men (MSM) with active syphilis (%),21.56
The former Yugoslav Republic of Macedonia,2017,Men who have sex with men (MSM) with active syphilis (%),2.4
The former Yugoslav Republic of Macedonia,2011,Men who have sex with men (MSM) with active syphilis (%),0.52
Timor-Leste,2014,Men who have sex with men (MSM) with active syphilis (%),8.3
Timor-Leste,2011,Men who have sex with men (MSM) with active syphilis (%),7.1
Timor-Leste,2010,Men who have sex with men (MSM) with active syphilis (%),5.33
Trinidad and Tobago,2017,Men who have sex with men (MSM) with active syphilis (%),16.1
Trinidad and Tobago,2011,Men who have sex with men (MSM) with active syphilis (%),8.89
Trinidad and Tobago,2010,Men who have sex with men (MSM) with active syphilis (%),11.59
Uganda,2008,Men who have sex with men (MSM) with active syphilis (%),9.71
Ukraine,2010,Men who have sex with men (MSM) with active syphilis (%),1.87
United Kingdom of Great Britain and Northern Ireland,2010,Men who have sex with men (MSM) with active syphilis (%),2.54
United Republic of Tanzania,2016,Men who have sex with men (MSM) with active syphilis (%),0.9
United Republic of Tanzania,2013,Men who have sex with men (MSM) with active syphilis (%),0.11
Uruguay,2016,Men who have sex with men (MSM) with active syphilis (%),21
Uzbekistan,2011,Men who have sex with men (MSM) with active syphilis (%),1.33
Uzbekistan,2008,Men who have sex with men (MSM) with active syphilis (%),1.42
Vanuatu,2011,Men who have sex with men (MSM) with active syphilis (%),5
Viet Nam,2018,Men who have sex with men (MSM) with active syphilis (%),6.7
Viet Nam,2014,Men who have sex with men (MSM) with active syphilis (%),4.2
Viet Nam,2013,Men who have sex with men (MSM) with active syphilis (%),0.67
Viet Nam,2012,Men who have sex with men (MSM) with active syphilis (%),1.06
Viet Nam,2011,Men who have sex with men (MSM) with active syphilis (%),2.71
Viet Nam,2010,Men who have sex with men (MSM) with active syphilis (%),1.07
Viet Nam,2008,Men who have sex with men (MSM) with active syphilis (%),0.89
